,tenantName,suite,occupiedSF,rentalRate,fullMonthRent,isFirstMonth,isLastMonth,firstMoDays,lastMoDays,partialDays,collectedRent,expenseType,startYear
2018-06-30,Cavendish Kinetics,100,3481.0,22.0,6381.84,True,False,16,0,16,3403.65,BASE YEAR,2018
2018-07-31,Cavendish Kinetics,100,3481.0,22.0,6381.84,False,False,0,0,0,6381.84,BASE YEAR,2018
2018-08-31,Cavendish Kinetics,100,3481.0,22.0,6381.84,False,False,0,0,0,6381.84,BASE YEAR,2018
2018-09-30,Cavendish Kinetics,100,3481.0,22.0,6381.84,False,False,0,0,0,6381.84,BASE YEAR,2018
2018-10-31,Cavendish Kinetics,100,3481.0,22.0,6381.84,False,False,0,0,0,6381.84,BASE YEAR,2018
2018-11-30,Cavendish Kinetics,100,3481.0,22.0,6381.84,False,False,0,0,0,6381.84,BASE YEAR,2018
2018-12-31,Cavendish Kinetics,100,3481.0,22.0,6381.84,False,False,0,0,0,6381.84,BASE YEAR,2018
2019-01-31,Cavendish Kinetics,100,3481.0,22.66,6573.29,False,False,0,0,0,6573.29,BASE YEAR,2018
2019-02-28,Cavendish Kinetics,100,3481.0,22.66,6573.29,False,False,0,0,0,6573.29,BASE YEAR,2018
2019-03-31,Cavendish Kinetics,100,3481.0,22.66,6573.29,False,False,0,0,0,6573.29,BASE YEAR,2018
2019-04-30,Cavendish Kinetics,100,3481.0,22.66,6573.29,False,False,0,0,0,6573.29,BASE YEAR,2018
2019-05-31,Cavendish Kinetics,100,3481.0,22.66,6573.29,False,False,0,0,0,6573.29,BASE YEAR,2018
2019-06-30,Cavendish Kinetics,100,3481.0,22.66,6573.29,False,False,0,0,0,6573.29,BASE YEAR,2018
2019-07-31,Cavendish Kinetics,100,3481.0,22.66,6573.29,False,False,0,0,0,6573.29,BASE YEAR,2018
2019-08-31,Cavendish Kinetics,100,3481.0,22.66,6573.29,False,False,0,0,0,6573.29,BASE YEAR,2018
2019-09-30,Cavendish Kinetics,100,3481.0,22.66,6573.29,False,False,0,0,0,6573.29,BASE YEAR,2018
2019-10-31,Cavendish Kinetics,100,3481.0,22.66,6573.29,False,False,0,0,0,6573.29,BASE YEAR,2018
2019-11-30,Cavendish Kinetics,100,3481.0,22.66,6573.29,False,False,0,0,0,6573.29,BASE YEAR,2018
2019-12-31,Cavendish Kinetics,100,3481.0,22.66,6573.29,False,False,0,0,0,6573.29,BASE YEAR,2018
2020-01-31,Cavendish Kinetics,100,3481.0,23.34,6770.49,False,False,0,0,0,6770.49,BASE YEAR,2018
2020-02-29,Cavendish Kinetics,100,3481.0,23.34,6770.49,False,False,0,0,0,6770.49,BASE YEAR,2018
2020-03-31,Cavendish Kinetics,100,3481.0,23.34,6770.49,False,False,0,0,0,6770.49,BASE YEAR,2018
2020-04-30,Cavendish Kinetics,100,3481.0,23.34,6770.49,False,False,0,0,0,6770.49,BASE YEAR,2018
2020-05-31,Cavendish Kinetics,100,3481.0,23.34,6770.49,False,False,0,0,0,6770.49,BASE YEAR,2018
2020-06-30,Cavendish Kinetics,100,3481.0,23.34,6770.49,False,False,0,0,0,6770.49,BASE YEAR,2018
2020-07-31,Cavendish Kinetics,100,3481.0,23.34,6770.49,False,False,0,0,0,6770.49,BASE YEAR,2018
2020-08-31,Cavendish Kinetics,100,3481.0,23.34,6770.49,False,False,0,0,0,6770.49,BASE YEAR,2018
2020-09-30,Cavendish Kinetics,100,3481.0,23.34,6770.49,False,False,0,0,0,6770.49,BASE YEAR,2018
2020-10-31,Cavendish Kinetics,100,3481.0,23.34,6770.49,False,False,0,0,0,6770.49,BASE YEAR,2018
2020-11-30,Cavendish Kinetics,100,3481.0,23.34,6770.49,False,False,0,0,0,6770.49,BASE YEAR,2018
2020-12-31,Cavendish Kinetics,100,3481.0,23.34,6770.49,False,False,0,0,0,6770.49,BASE YEAR,2018
2021-01-31,Cavendish Kinetics,100,3481.0,24.04,6973.61,False,False,0,0,0,6973.61,BASE YEAR,2018
2021-02-28,Cavendish Kinetics,100,3481.0,24.04,6973.61,False,False,0,0,0,6973.61,BASE YEAR,2018
